#from https://raw.githubusercontent.com/XENONnT/strax_auxiliary_files/master/strax_files/pmt_positions_xenonnt.csv
i,array,x,y
268,bottom,-6.93766,-52.0709
269,bottom,-13.8753,-48.0654
270,bottom,-20.8129,-44.06
271,bottom,-27.7506,-40.0545
272,bottom,-34.6882,-36.0491
273,bottom,-41.6259,-32.0436
274,bottom,-48.5635,-28.0382
275,bottom,-55.5012,-24.0327
276,bottom,20.8129,-60.0818
277,bottom,13.8753,-56.0763
278,bottom,6.93763,-52.0709
279,bottom,-1.25485e-05,-48.0654
280,bottom,-6.93766,-44.06
281,bottom,-13.8753,-40.0545
282,bottom,-20.8129,-36.0491
283,bottom,-27.7506,-32.0436
284,bottom,-34.6882,-28.0382
285,bottom,-41.6259,-24.0327
286,bottom,-48.5635,-20.0273
287,bottom,-55.5012,-16.0218
288,bottom,-62.4388,-12.0164
289,bottom,27.7506,-56.0763
290,bottom,20.8129,-52.0709
291,bottom,13.8753,-48.0654
292,bottom,6.93763,-44.06
293,bottom,-1.04571e-05,-40.0545
294,bottom,-6.93765,-36.0491
295,bottom,-13.8753,-32.0436
296,bottom,-20.8129,-28.0382
297,bottom,-27.7506,-24.0327
298,bottom,-34.6882,-20.0273
299,bottom,-41.6259,-16.0218
300,bottom,-48.5635,-12.0164
301,bottom,-55.5012,-8.01092
302,bottom,-62.4388,-4.00547
303,bottom,34.6882,-52.0709
304,bottom,27.7506,-48.0654
305,bottom,20.8129,-44.06
306,bottom,13.8753,-40.0545
307,bottom,6.93763,-36.0491
308,bottom,-8.36565e-06,-32.0436
309,bottom,-6.93765,-28.0382
310,bottom,-13.8753,-24.0327
311,bottom,-20.8129,-20.0273
312,bottom,-27.7506,-16.0218
313,bottom,-34.6882,-12.0164
314,bottom,-41.6259,-8.01091
315,bottom,-48.5635,-4.00546
316,bottom,-55.5012,-1.44897e-05
317,bottom,-62.4388,4.00544
318,bottom,41.6259,-48.0654
319,bottom,34.6882,-44.06
320,bottom,27.7506,-40.0545
321,bottom,20.8129,-36.0491
322,bottom,13.8753,-32.0436
323,bottom,6.93764,-28.0382
324,bottom,-6.27423e-06,-24.0327
325,bottom,-6.93765,-20.0273
326,bottom,-13.8753,-16.0218
327,bottom,-20.8129,-12.0164
328,bottom,-27.7506,-8.01091
329,bottom,-34.6882,-4.00546
330,bottom,-41.6259,-1.08673e-05
331,bottom,-48.5635,4.00544
332,bottom,-55.5011,8.01089
333,bottom,-62.4388,12.0163
334,bottom,41.6259,-40.0545
335,bottom,34.6882,-36.0491
336,bottom,27.7506,-32.0436
337,bottom,20.8129,-28.0382
338,bottom,13.8753,-24.0327
339,bottom,6.93764,-20.0273
340,bottom,-4.18282e-06,-16.0218
341,bottom,-6.93765,-12.0164
342,bottom,-13.8753,-8.01091
343,bottom,-20.8129,-4.00546
344,bottom,-27.7506,-7.24486e-06
345,bottom,-34.6882,4.00544
346,bottom,-41.6259,8.01089
347,bottom,-48.5635,12.0163
348,bottom,-55.5011,16.0218
349,bottom,48.5635,-36.0491
350,bottom,41.6259,-32.0436
351,bottom,34.6882,-28.0382
352,bottom,27.7506,-24.0327
353,bottom,20.8129,-20.0273
354,bottom,13.8753,-16.0218
355,bottom,6.93764,-12.0164
356,bottom,-2.09141e-06,-8.0109
357,bottom,-6.93764,-4.00545
358,bottom,-13.8753,-3.62243e-06
